,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,address,lat,long,postal_code,grade_code,condition_code,price_sqft
5621,4178500710,12/7/2021,541000.0,3,2.0,1520,9189,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1520,0,380,60,1989,0,"19041 Southeast 271st Street, Covington, Washington 98042, United States",47.358345,-122.08746,98042,7,3,355.92105263157896
5637,8682321330,8/26/2021,1200000.0,2,2.0,1960,4497,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1960,0,490,240,2013,0,"23833 NE 127th St, Redmond, Washington 98053, United States",47.71162,-122.020685,98053,8,3,612.2448979591836
5638,7972604705,12/30/2021,463000.0,3,2.0,1660,7620,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1080,1070,490,370,1979,0,"9401 5th Avenue Southwest, Seattle, Washington 98106, United States",47.51895,-122.34192,98106,7,3,278.9156626506024
5654,7211350030,1/7/2022,715000.0,3,2.0,1400,11284,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,920,860,640,220,1980,0,"32205 Queens Court, Carnation, Washington 98014, United States",47.64529,-121.90959,98014,7,4,510.7142857142857
5657,3426079055,9/28/2021,875000.0,3,2.0,2180,44431,1.0,NO,NO,NO,NONE,Average,6 Low Average,Gas,PRIVATE,2180,0,550,450,1997,0,"32617 Northeast 109th Street, Carnation, Washington 98014, United States",47.69445,-121.90255,98014,6,3,401.3761467889908
5666,2500600297,2/23/2022,129200.0,3,3.0,2110,2553,1.0,NO,NO,YES,NONE,Average,6 Low Average,Electricity,PUBLIC,2110,0,0,0,1981,0,"3059 South 224th Street, Des Moines, Washington 98198, United States",47.40058,-122.29305,98198,6,3,61.23222748815166
5669,104500030,7/22/2021,395000.0,3,3.0,1510,8066,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,990,950,460,570,1982,0,"32114 14th Avenue Southwest, Federal Way, Washington 98023, United States",47.31329,-122.35286,98023,7,5,261.58940397350995
5680,3425059210,5/26/2022,2010000.0,4,4.0,3240,22651,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1630,1610,580,320,1996,0,"13819 Southeast 2nd Street, Bellevue, Washington 98005, United States",47.607855,-122.15618,98005,7,3,620.3703703703703
5687,8126300010,9/28/2021,1115000.0,3,2.0,1910,12014,1.0,NO,NO,YES,NONE,Average,8 Good,Gas,PUBLIC,1910,0,0,0,1979,0,"11681 132nd Court Northeast, Redmond, Washington 98052, United States",47.70547,-122.16404,98052,8,3,583.7696335078534
5698,3348400949,11/10/2021,865000.0,6,3.0,3320,21382,1.0,NO,NO,YES,AVERAGE,Average,8 Good,Electricity,PUBLIC,1660,1660,430,170,2019,0,"4931 South 114th Street, Tukwila, Washington 98178, United States",47.5005,-122.27238,98178,8,3,260.5421686746988
5707,3619600142,9/13/2021,1300000.0,4,3.5,3160,7850,1.0,NO,NO,NO,AVERAGE,Average,9 Better,Gas,PUBLIC,2500,1330,670,110,1999,0,"13022 10th Avenue Northwest, Seattle, Washington 98177, United States",47.72393,-122.369125,98177,9,3,411.39240506329116
5708,7856620140,7/16/2021,1600000.0,4,2.5,2910,10405,1.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,1530,1380,580,0,1978,0,"4650 144th Place Southeast, Bellevue, Washington 98006, United States",47.56249,-122.147932,98006,9,4,549.828178694158
5731,2212220110,11/24/2021,481000.0,3,2.0,1100,8509,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1100,0,520,180,1980,0,"11219 Southeast 233rd Place, Kent, Washington 98031, United States",47.392525,-122.19043,98031,7,4,437.27272727272725
5734,826069083,8/12/2021,1850000.0,3,2.5,2910,143800,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PRIVATE,2910,0,650,430,1984,0,"16817 203rd Place Northeast, Woodinville, Washington 98077, United States",47.75029,-122.06713,98077,8,5,635.7388316151203
5775,3579000230,4/21/2022,1550000.0,3,2.0,1700,13315,1.0,NO,NO,NO,AVERAGE,Average,8 Good,Gas,PUBLIC,1700,1480,440,170,1980,0,"7071 Northeast 163rd Street, Kenmore, Washington 98028, United States",47.74558,-122.24586,98028,8,3,911.7647058823529
5776,349400150,10/29/2021,480000.0,3,2.0,1180,7548,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1180,0,420,50,1980,0,"2257 Scandia Avenue, Enumclaw, Washington 98022, United States",47.19592,-121.9986,98022,7,4,406.77966101694915
5785,723069144,3/22/2022,671507.0,3,2.0,1460,218235,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1460,0,460,130,1981,0,"18701 Southeast 122nd Street, Issaquah, Washington 98027, United States",47.4919,-122.09103,98027,8,3,459.93630136986303
5799,7338000810,8/16/2021,385000.0,3,2.0,1150,4218,1.0,NO,NO,NO,NONE,Average,6 Low Average,Gas,PUBLIC,1150,0,260,0,1985,0,"3012 L Street Northeast, Auburn, Washington 98002, United States",47.334295,-122.215235,98002,6,3,334.7826086956522
5802,616000362,3/3/2022,500000.0,2,2.0,1620,60460,1.0,NO,NO,NO,AVERAGE,Average,7 Average,Electricity,PRIVATE,1340,1250,0,100,1978,0,"20811 Marine View Drive Southwest, Normandy Park, Washington 98166, United States",47.41428,-122.3436,98166,7,3,308.641975308642
5823,4406000590,8/16/2021,595000.0,3,2.5,1620,8734,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1080,880,340,120,1981,0,"19322 141st Avenue Southeast, Renton, Washington 98058, United States",47.4286,-122.1524,98058,7,4,367.28395061728395
5824,5467910120,6/15/2021,950000.0,3,2.0,2730,13218,1.0,NO,NO,NO,EXCELLENT,Average,9 Better,Gas,PUBLIC,2730,0,740,800,1994,0,"26271 142nd Avenue Southeast, Kent, Washington 98042, United States",47.36561,-122.15258,98042,9,3,347.98534798534797
5828,4141680020,4/27/2022,758808.0,3,2.5,1620,5760,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1140,1010,620,50,1987,0,"10617 68th Place South, Seattle, Washington 98178, United States",47.5059,-122.248605,98178,7,3,468.4
5842,3971700987,7/23/2021,680000.0,3,2.0,1150,7206,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1150,570,550,80,1982,0,"1121 Northeast 197th Court, Shoreline, Washington 98155, United States",47.77137000000001,-122.31748,98155,7,3,591.304347826087
5860,2130400150,1/10/2022,745000.0,3,2.0,1210,9635,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1210,0,440,280,1987,0,"15218 3rd Avenue Northeast, Duvall, Washington 98019, United States",47.73824000000001,-121.979985,98019,7,4,615.702479338843
5863,3626039391,8/3/2021,1011000.0,5,2.0,2060,6350,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1030,1030,270,80,1978,0,"9517 2nd Avenue Northwest, Seattle, Washington 98117, United States",47.69841,-122.35978,98117,7,3,490.77669902912623
5877,5714000250,4/21/2022,675000.0,3,2.5,1640,10074,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1300,680,460,180,1992,0,"30621 115th Court Southeast, Auburn, Washington 98092, United States",47.32737,-122.1879,98092,7,4,411.5853658536585
5888,3123039187,9/3/2021,715001.0,2,2.0,2069,87450,1.0,NO,NO,NO,NONE,Average,8 Good,Other,PRIVATE,2069,0,0,1214,2005,0,"18309 Vashon Highway Southwest, Vashon, Washington 98070, United States",47.44134,-122.46216,98070,8,3,345.5780570323828
5913,5561300370,8/30/2021,1300000.0,4,3.0,3120,36254,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PRIVATE,2300,1940,1120,780,1978,0,"25201 Southeast Mirrormont Way, Issaquah, Washington 98027, United States",47.46874,-122.004545,98027,8,5,416.6666666666667
5925,3326800070,1/31/2022,570000.0,4,3.0,2220,7200,1.0,NO,NO,YES,NONE,Good,8 Good,Gas,PUBLIC,1280,1140,400,350,1981,0,"11514 Southeast 320th Place, Auburn, Washington 98092, United States",47.31511,-122.188675,98092,8,4,256.7567567567568
5939,6669151110,12/12/2021,550000.0,3,2.0,1460,6600,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1220,700,440,80,1979,0,"12621 Southeast 216th Street, Kent, Washington 98031, United States",47.40842,-122.17204,98031,7,4,376.71232876712327
5960,3902300210,3/23/2022,1480000.0,4,3.0,2150,16728,1.0,NO,NO,YES,NONE,Good,9 Better,Gas,PUBLIC,1240,1150,480,460,1982,0,"11827 Northeast 102nd Place, Kirkland, Washington 98033, United States",47.691535,-122.18271,98033,9,4,688.3720930232558
5969,110700040,11/24/2021,540000.0,3,2.0,1190,9556,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1190,0,460,0,1983,0,"10020 Southeast 203rd Street, Kent, Washington 98031, United States",47.42043,-122.20633,98031,7,3,453.781512605042
5979,2482410180,10/21/2021,710000.0,3,2.5,1770,8887,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1240,1060,840,100,1978,0,"2218 Bremerton Avenue Northeast, Renton, Washington 98059, United States",47.51164,-122.15883999999998,98059,7,3,401.12994350282486
5984,1422260050,4/1/2022,1258807.0,5,2.5,3540,8857,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,1990,2010,460,80,2022,0,"1415 Bandera Avenue Southeast, North Bend, Washington 98045, United States",47.47854,-121.73713,98045,9,3,355.595197740113
5989,4178500820,11/1/2021,452400.0,3,2.0,1090,10160,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1090,0,480,0,1989,0,"19202 Southeast 270th Place, Covington, Washington 98042, United States",47.35967,-122.08574,98042,7,3,415.04587155963304
5991,3876540370,6/13/2021,475000.0,3,2.0,1170,7357,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1170,0,280,0,1984,0,"2633 South 376th Place, Federal Way, Washington 98003, United States",47.26394000000001,-122.30142,98003,7,3,405.982905982906
6007,4051100070,11/29/2021,559000.0,4,3.0,1520,7790,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1080,880,440,120,1978,0,"14504 Southeast 254th Street, Kent, Washington 98042, United States",47.374235,-122.14721000000002,98042,7,5,367.7631578947368
6020,2806800120,4/12/2022,1160000.0,4,3.0,2530,7563,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1440,1390,400,170,1978,0,"9814 Northeast 204th Place, Bothell, Washington 98011, United States",47.77619,-122.2096,98011,7,3,458.498023715415
6050,2193310240,1/4/2022,1680000.0,4,3.0,2000,7856,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1220,1100,470,140,1982,0,"18318 Northeast 105th Court, Redmond, Washington 98052, United States",47.69453,-122.09663,98052,8,4,840.0
6099,7222000333,9/24/2021,350000.0,3,2.0,1570,11880,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1570,0,480,160,1991,0,"1705 Morris Avenue South, Renton, Washington 98055, United States",47.464555,-122.21154,98055,7,3,222.9299363057325
6109,1796370540,8/3/2021,575000.0,3,2.0,1490,7074,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1490,0,420,700,1990,0,"19031 Southeast 260th Street, Covington, Washington 98042, United States",47.36859000000001,-122.08698,98042,7,4,385.90604026845637
6120,3356400820,9/28/2021,430000.0,3,2.0,1060,8000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1060,0,260,100,1981,0,"228 11th Avenue North, Algona, Washington 98001, United States",47.29193,-122.253545,98001,7,3,405.66037735849056
6127,1552800270,9/17/2021,475000.0,4,2.0,1990,11048,1.0,NO,NO,YES,AVERAGE,Average,7 Average,Electricity,PUBLIC,1080,910,460,170,1982,0,"162 Olympic Way, Kent, Washington 98030, United States",47.38143,-122.2229,98030,7,3,238.69346733668343
6159,9543000805,12/15/2021,153124.0,3,3.5,1532,9036,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1026,986,460,104,1991,0,"413 4th Avenue South, Algona, Washington 98001, United States",47.274675,-122.24839,98001,7,4,99.95039164490862
6161,126049203,6/23/2021,690000.0,3,3.0,1910,12397,1.0,NO,NO,NO,NONE,Good,8 Good,Electricity,PUBLIC,1460,1410,570,260,1978,0,"6821 Northeast 191st Street, Kenmore, Washington 98028, United States",47.766815,-122.24852,98028,8,4,361.2565445026178
6169,7805450450,9/10/2021,1550000.0,3,2.5,1880,12609,1.0,NO,NO,NO,GOOD,Average,10 Very Good,Gas,PUBLIC,1880,0,620,650,1984,0,"4611 176th Avenue Southeast, Bellevue, Washington 98006, United States",47.562775,-122.104394,98006,10,3,824.468085106383
6171,9543000996,3/31/2022,457500.0,4,2.0,2110,16000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,2110,0,670,0,1978,0,"430 5th Avenue South, Algona, Washington 98001, United States",47.273215,-122.248295,98001,7,3,216.82464454976304
6186,7701430120,2/15/2022,650000.0,3,2.0,1810,25741,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1810,0,0,100,1994,0,"28404 232nd Avenue Southeast, Maple Valley, Washington 98038, United States",47.346995,-122.0317,98038,8,3,359.1160220994475
6198,8835200650,8/18/2021,850000.0,3,2.0,1150,5000,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1150,0,400,340,1982,0,"13626 135th Avenue Northeast, Kirkland, Washington 98034, United States",47.72298,-122.15941,98034,7,3,739.1304347826087
6206,993001195,5/3/2022,925000.0,3,3.0,1460,2563,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,870,750,160,60,1987,0,"8827 Ashworth Avenue North, Seattle, Washington 98103, United States",47.69317,-122.33951,98103,7,3,633.5616438356165
6213,8807800030,8/30/2021,1308000.0,4,3.0,2020,35673,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PRIVATE,1300,1200,480,130,1979,0,"6615 210th Avenue Northeast, Redmond, Washington 98053, United States",47.6647,-122.06032,98053,7,5,647.5247524752475
6216,8682300750,10/28/2021,1388000.0,3,2.5,2320,5890,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,2320,0,430,60,2007,0,"24180 Northeast 131st Terrace, Redmond, Washington 98053, United States",47.71613,-122.01698,98053,8,3,598.2758620689655
6220,6743700259,10/21/2021,1560000.0,3,2.5,1840,7214,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1500,740,590,0,1989,0,"12703 Northeast 101st Place, Kirkland, Washington 98033, United States",47.69042,-122.17102,98033,8,3,847.8260869565217
6224,1622049231,3/24/2022,710000.0,3,2.5,1700,8552,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1190,1010,500,80,1995,0,"23228 22nd Place South, Des Moines, Washington 98198, United States",47.395335,-122.304115,98198,7,3,417.6470588235294
6239,1796370460,7/26/2021,575000.0,3,2.0,1420,9837,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1420,0,440,0,1992,0,"25924 189th Court Southeast, Covington, Washington 98042, United States",47.369695,-122.08832,98042,7,3,404.92957746478874
6257,2817100980,5/4/2022,780000.0,3,2.0,1940,10602,1.0,NO,NO,NO,GOOD,Good,8 Good,Electricity,PRIVATE,1940,0,462,400,1990,0,"7623 Southwest 258th Court, Vashon, Washington 98070, United States",47.372545,-122.430275,98070,8,4,402.0618556701031
6274,8078550030,7/9/2021,535000.0,3,2.0,1350,6386,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1350,0,400,0,1987,0,"12372 Southeast 221st Street, Kent, Washington 98031, United States",47.40485,-122.17513,98031,7,3,396.2962962962963
6298,4046500280,11/6/2021,730000.0,3,2.5,2020,18452,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1470,800,550,460,1981,0,"10323 316th Avenue Northeast, Carnation, Washington 98014, United States",47.69035,-121.91687,98014,8,3,361.38613861386136
6301,4046600340,6/12/2021,848000.0,3,3.0,2090,15852,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PRIVATE,1270,1220,400,80,2006,0,"31707 Northeast 114th Street, Carnation, Washington 98014, United States",47.69855,-121.91539,98014,7,3,405.74162679425837
6311,8732040680,7/27/2021,570000.0,4,3.0,2210,11970,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1470,1290,550,430,1979,0,"32861 40th Court Southwest, Federal Way, Washington 98023, United States",47.30706,-122.3847,98023,8,3,257.9185520361991
6315,7525000020,8/9/2021,1200000.0,3,2.5,2360,11360,1.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,1920,670,590,810,1980,0,"1810 220th Place Northeast, Sammamish, Washington 98074, United States",47.62601,-122.04531,98074,9,4,508.47457627118644
6317,7524950390,12/22/2021,1550000.0,3,2.0,1730,7200,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1730,0,440,40,1984,0,"4718 192nd Place Southeast, Issaquah, Washington 98027, United States",47.559615,-122.083796,98027,8,4,895.9537572254335
6318,6929601225,4/21/2022,530000.0,3,1.0,910,6000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,910,0,290,680,1983,0,"24009 18th Place South, Des Moines, Washington 98198, United States",47.38634,-122.3103,98198,7,3,582.4175824175824
6338,8141360560,1/21/2022,526000.0,3,2.0,1480,5507,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1480,0,400,280,2019,0,"625 Petersen Drive East, Enumclaw, Washington 98022, United States",47.19483,-121.971605,98022,7,3,355.4054054054054
6344,7211330110,8/26/2021,600000.0,3,2.0,1430,9100,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,980,910,460,140,1979,0,"32205 Regal Avenue Northeast, Carnation, Washington 98014, United States",47.6445,-121.90863,98014,7,4,419.5804195804196
6345,1112700070,9/9/2021,1260000.0,4,3.0,2110,10000,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PUBLIC,1190,1080,440,80,1979,0,"14123 81st Place Northeast, Kirkland, Washington 98034, United States",47.72864000000001,-122.23288,98034,7,5,597.1563981042653
6346,4069000090,7/14/2021,740000.0,4,3.0,2510,22897,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PRIVATE,1610,1460,560,160,1978,0,"22450 Southeast 297th Street, Black Diamond, Washington 98010, United States",47.33562,-122.04332,98010,8,4,294.8207171314741
6348,2193300670,3/10/2022,1750000.0,4,4.0,2560,13020,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1580,1240,520,310,1981,0,"10212 184th Avenue Northeast, Redmond, Washington 98052, United States",47.6914,-122.09535,98052,8,3,683.59375
6355,5420300400,3/18/2022,550000.0,2,1.0,1476,7464,1.0,NO,NO,NO,NONE,Good,6 Low Average,Electricity,PUBLIC,1476,0,490,620,1984,0,"25104 119th Court Southeast, Kent, Washington 98030, United States",47.37673,-122.181885,98030,6,4,372.62872628726285
6358,126049211,9/2/2021,780000.0,3,2.5,1720,10400,1.0,NO,NO,YES,NONE,Good,8 Good,Gas,PUBLIC,1300,720,300,190,1992,0,"19233 68th Avenue Northeast, Kenmore, Washington 98028, United States",47.76859,-122.24924,98028,8,4,453.48837209302326
6371,7137900410,6/20/2021,425000.0,3,1.0,950,7610,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,950,0,520,0,1983,0,"31603 126th Avenue Southeast, Auburn, Washington 98092, United States",47.318785,-122.17383,98092,7,4,447.36842105263156
6386,5702380710,6/21/2021,455000.0,3,2.5,1420,7946,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1180,560,400,70,1991,0,"220 Jewell Street, Enumclaw, Washington 98022, United States",47.194055,-121.98199,98022,7,3,320.4225352112676
6393,1326069213,8/3/2021,760000.0,4,2.0,1590,8540,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1590,0,710,120,1997,0,"26927 Northeast Kennedy Drive, Duvall, Washington 98019, United States",47.73483,-121.977695,98019,8,3,477.9874213836478
6401,6802201020,9/21/2021,487000.0,3,2.0,1460,8600,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1460,0,400,0,1991,0,"309 Petschauer Place, Enumclaw, Washington 98022, United States",47.19404,-121.987635,98022,7,4,333.56164383561645
6406,104500710,3/28/2022,500000.0,4,2.0,1340,8391,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1340,0,500,550,1981,0,"1516 Southwest 320th Court, Federal Way, Washington 98023, United States",47.31392,-122.35563,98023,7,3,373.13432835820896
6418,5412310080,5/11/2022,715000.0,3,2.0,1840,9697,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1500,720,570,500,1985,0,"12034 Southeast 252nd Place, Kent, Washington 98030, United States",47.376425,-122.17912,98030,7,4,388.5869565217391
6453,1545806290,7/15/2021,539950.0,4,3.0,1820,6500,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1130,1170,480,140,1978,0,"22021 Southeast 261st Place, Maple Valley, Washington 98038, United States",47.3677,-122.04717,98038,7,4,296.6758241758242
6455,7504100570,10/11/2021,1257000.0,5,3.0,2940,12500,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1960,1730,750,270,1982,0,"2411 220th Place Northeast, Sammamish, Washington 98074, United States",47.631505,-122.04609,98074,8,3,427.55102040816325
6487,2223049100,4/26/2022,750000.0,3,2.0,1420,7200,1.0,NO,NO,NO,AVERAGE,Average,7 Average,Gas,PUBLIC,1420,0,390,370,1994,0,"4610 South 160th Street, Tukwila, Washington 98188, United States",47.46006,-122.27568,98188,7,3,528.169014084507
6493,3317010080,3/21/2022,641000.0,4,2.5,1660,9219,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1190,1090,620,160,1994,0,"38019 24th Ct S, Milton, Washington 98354, United States",47.26151,-122.30284,98354,7,3,386.144578313253
6495,8682290810,3/28/2022,900000.0,2,2.0,1510,4383,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1510,0,480,150,2006,0,"23050 Northeast 139th Court, Redmond, Washington 98053, United States",47.724985,-122.030565,98053,8,3,596.0264900662252
6515,2626079058,6/1/2022,850000.0,4,2.0,1500,419047,1.0,NO,NO,YES,NONE,Average,7 Average,Electricity,PRIVATE,1500,1470,0,0,1987,0,"34505 Northeast Lake Joy Road, Carnation, Washington 98014, United States",47.70529000000001,-121.87888,98014,7,3,566.6666666666666
6523,6411600018,9/22/2021,950000.0,5,3.0,2260,7326,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1320,1290,480,100,1985,0,"11536 Meridian Ave N, Seattle, Washington 98133, United States",47.71262,-122.33393,98133,8,3,420.353982300885
6535,4013200240,4/11/2022,1400000.0,3,2.5,4361,41700,1.0,YES,NO,YES,AVERAGE,Average,8 Good,Gas,PRIVATE,2492,2262,500,858,2015,0,"31064 Military Road South, Auburn, Washington 98001, United States",47.32299,-122.287275,98001,8,3,321.02728731942216
6558,114100309,8/18/2021,750000.0,3,2.0,1720,11520,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1720,0,360,130,1984,0,"6908 Northeast 204th Street, Kenmore, Washington 98028, United States",47.776395,-122.24716,98028,8,3,436.04651162790697
6560,4123800200,5/10/2022,184953.0,3,2.5,1670,6618,1.0,NO,YES,NO,NONE,Good,7 Average,Electricity,PUBLIC,1230,640,490,100,1985,0,"22116 Southeast 251st Court, Maple Valley, Washington 98038, United States",47.37751,-122.04526,98038,7,4,110.75029940119761
6612,1442730210,10/13/2021,707000.0,3,2.5,1670,13775,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1370,1100,750,580,1987,0,"25401 212th Place Southeast, Maple Valley, Washington 98038, United States",47.374355,-122.05884,98038,8,3,423.3532934131737
6615,1775900240,7/7/2021,650000.0,3,1.0,960,12600,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PRIVATE,960,0,0,130,1979,0,"15518 182nd Place Northeast, Woodinville, Washington 98072, United States",47.74027,-122.09537,98072,7,5,677.0833333333334
6616,8682300210,11/19/2021,1300000.0,2,2.0,1670,5500,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,1670,0,400,200,2008,0,"13173 Adair Creek Way Northeast, Redmond, Washington 98053, United States",47.71602,-122.019875,98053,8,3,778.443113772455
6617,722039081,9/9/2021,685000.0,4,2.0,2060,11325,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PRIVATE,1030,1030,0,0,1995,0,"21709 Vashon Highway Southwest, Vashon, Washington 98070, United States",47.409805,-122.460925,98070,7,3,332.5242718446602
6630,7334500480,5/6/2022,600000.0,3,1.0,990,13425,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PRIVATE,990,0,520,0,1979,0,"44105 Southeast 149th Place, North Bend, Washington 98045, United States",47.46536,-121.75098,98045,7,3,606.060606060606
6651,8732040270,9/14/2021,530000.0,3,2.0,1820,27785,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,950,870,400,130,1981,0,"4236 Southwest 328th Court, Federal Way, Washington 98023, United States",47.30773,-122.38838,98023,8,3,291.2087912087912
6678,8159620230,8/25/2021,280000.0,3,2.0,1250,9669,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1250,0,440,50,1978,0,"4913 South 293rd Street, Auburn, Washington 98001, United States",47.33946,-122.271485,98001,7,3,224.0
6688,3041700035,11/8/2021,830000.0,3,2.5,1760,10350,1.0,NO,NO,YES,NONE,Good,7 Average,Gas,PUBLIC,1330,670,530,290,1979,0,"5906 114th Avenue Northeast, Kirkland, Washington 98033, United States",47.660465,-122.187905,98033,7,4,471.59090909090907
6724,1622039215,6/29/2021,950000.0,4,2.0,2800,437342,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PRIVATE,2800,0,830,0,1998,0,"6650 Southwest 240th Street, Vashon, Washington 98070, United States",47.39203,-122.41743999999998,98070,9,3,339.2857142857143
6731,6743700091,9/8/2021,965000.0,3,2.0,1580,8585,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1580,0,480,110,1989,0,"10619 126th Avenue Northeast, Kirkland, Washington 98033, United States",47.695495,-122.17351,98033,7,3,610.7594936708861
6734,8029600080,10/18/2021,677000.0,4,2.5,2200,6174,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2200,0,540,240,2004,0,"37545 27th Place South, Federal Way, Washington 98003, United States",47.26393,-122.30065,98003,8,3,307.72727272727275
6765,9412690070,12/10/2021,680000.0,6,2.5,2630,9608,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2630,0,0,0,1998,0,"30846 21st Avenue Southwest, Federal Way, Washington 98023, United States",47.32457,-122.360535,98023,8,3,258.5551330798479
6789,3422069095,8/30/2021,800000.0,3,2.5,4310,90169,1.0,NO,NO,NO,NONE,Good,10 Very Good,Electricity,PRIVATE,2550,2520,890,960,1981,0,"28040 243rd Avenue Southeast, Maple Valley, Washington 98038, United States",47.34936,-122.01667,98038,10,4,185.61484918793502
6792,6303401350,3/3/2022,730000.0,3,2.5,1610,7310,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1060,1040,490,840,1978,0,"11028 21st Avenue Southwest, Seattle, Washington 98146, United States",47.50407,-122.360115,98146,7,4,453.41614906832297
